0,81,162
81,162,162
98304,119738,1
98304,98305,2
98305,98306,2
111537,111553,31
111553,111568,31
124014,125675,4
125675,52127,4
124014,124015,2
124015,52127,2
17896,123718,3
123718,117543,3
17896,17897,2
17897,17898,2
30373,30374,2
30374,30375,2
22559,22560,2
22560,22561,2
51420,51459,77
51459,51497,77
96665,124438,3
124438,96668,3
96665,96667,3
96667,96668,3
35792,35798,11
35798,35803,11
27978,27992,28
27992,28006,28
36548,36575,54
36575,36602,54
16257,124944,2
124944,16260,2
16257,16259,3
16259,16260,3
81793,119051,3
119051,81796,3
81793,81795,3
81795,81796,3
20920,122415,2
122415,20923,2
20920,20922,3
20922,20923,3
37304,37340,72
37340,37376,72
49781,49790,17
49790,49798,17
9199,117432,1
9199,9200,2
9200,9201,2
30246,125245,4
125245,30250,4
30246,30248,4
30248,30250,4
59107,125729,4
125729,59112,4
59107,59110,5
59110,59112,5
108259,108266,14
108266,108273,14
46630,46631,2
46631,46632,2
23188,120378,2
120378,23190,2
23188,23189,2
23189,23190,2
94143,121242,3
121242,94147,3
94143,94145,4
94145,94147,4
90236,90237,2
90237,90238,2
33270,125351,5
125351,33273,5
33270,33272,3
33272,33273,3
18398,18401,5
18401,18403,5
96411,119475,5
119475,96414,5
96411,96412,1
35538,35575,73
35575,35611,73
15247,122376,5
122376,15253,5
15247,15250,6
15250,15253,6
36294,122678,4
122678,36299,4
36294,36297,5
36297,36299,5
48771,122923,2
122923,48774,2
48771,48773,3
48773,48774,3
94016,121224,4
121224,94020,4
94016,94017,1
85446,85492,91
85492,85537,91
119726,124512,2
124512,119736,2
119726,119731,10
119731,119736,10
99435,99437,4
99437,99439,4
87714,87724,19
87724,87733,19
47132,47143,22
47143,47154,22
101703,119856,3
119856,101705,3
101703,101704,2
101704,101705,2
32260,32280,39
32280,32299,39
118087,118089,4
118089,42577,4
73598,73606,16
73606,73614,16
44737,44779,84
44779,44821,84
114180,114187,14
114187,114194,14
57970,57975,10
57975,57980,10
46249,46259,20
46259,46269,20
87587,87589,1
87587,123276,4
123276,121067,4
87587,87588,1
54819,54828,18
54828,54837,18
63389,118544,5
118544,63394,5
63389,63392,5
63392,63394,5
120355,22576,1
67296,67297,1
68052,68056,8
68056,68060,8
6423,6434,22
6434,6445,22
109390,121448,3
121448,109392,3
109390,109391,2
109391,109392,2
7179,7180,1
72715,72743,55
72743,72770,55
77378,123110,1
77378,77379,2
77379,77380,2
7935,7938,5
7938,7940,5
36796,36799,6
36799,36802,6
61750,120858,4
120858,61755,4
61750,61752,4
61752,61754,4
25075,123744,5
123744,25080,5
25075,25078,5
25078,25080,5
74227,118787,3
118787,74230,3
74227,74229,3
74229,74230,3
94518,94561,85
94561,94603,85
45366,45370,7
45370,45373,7
79646,79655,17
79655,79663,17
55448,55453,9
55453,55457,9
51541,51543,3
51543,51544,3
110775,126420,7
126420,110779,7
110775,110776,1
6169,6173,8
6173,6177,8
6925,6926,1
84938,84960,43
84960,84981,43
81787,121008,3
121008,81791,3
81787,81789,4
81789,81791,4
110648,126410,4
126410,110651,4
110648,110650,3
110650,110651,3
90357,123334,2
123334,90359,2
90357,90358,2
90358,90359,2
77880,77890,19
77890,77899,19
123125,123126,2
123126,77436,2
66915,118607,2
118607,66918,2
66915,66917,3
66917,66918,3
99683,119798,3
119798,99685,3
99683,99684,2
99684,99685,2
42717,118095,2
118095,42719,2
42717,42718,2
42718,42719,2
22426,22431,1
22426,22429,5
22429,22431,5
71578,123044,5
123044,71581,5
71578,71580,3
71580,71581,3
30996,120567,6
120567,30999,6
30996,30998,3
30998,30999,3
76241,124233,4
124233,76245,4
76241,76243,4
76243,76245,4
83299,83302,5
83302,83304,5
23182,23185,6
23185,23188,6
98044,98055,22
98055,98066,22
81660,81664,8
81664,81668,8
90230,90231,2
90231,90232,2
115184,115189,9
115189,115193,9
50404,50476,144
50476,50548,144
47253,125602,4
125602,47257,4
47253,47255,4
47255,47257,4
92498,92499,1
6671,6672,2
6672,6673,2
109638,109679,82
109679,109720,82
101824,101825,1
21416,122467,3
122467,21421,3
21416,21419,5
21419,21421,5
107999,124692,3
124692,108001,3
107999,108000,2
108000,108001,2
104092,126278,4
126278,104095,4
104092,119935,1
104092,104094,3
104094,104095,3
18265,18292,54
18292,18319,54
47126,47128,4
47128,47130,4
75987,124220,3
124220,124221,3
75987,75989,3
75989,75990,3
104848,126294,2
126294,104850,2
104848,104849,2
104849,104850,2
22928,22939,21
22939,22949,21
118081,120671,1
118081,118082,1
77499,77516,33
77516,77532,33
36917,36937,39
36937,36956,39
33010,125333,4
125333,33013,4
33010,33012,3
33012,33013,3
74348,74364,31
74364,74379,31
22045,22067,44
22067,22089,44
18894,18907,25
18907,18919,25
31371,31390,37
31390,31408,37
117954,117957,5
117957,35209,5
32127,122595,3
122595,32129,3
32127,32128,2
32128,32129,2
114803,126502,3
126502,114805,3
114803,114804,2
114804,114805,2
16499,16538,77
16538,16576,77
90605,123356,2
123356,90608,2
90605,119318,4
119318,90609,4
90605,90607,3
90607,90608,3
95268,95269,1
60105,60122,34
60122,60139,34
32000,122592,4
122592,32005,4
32000,32003,5
32003,32005,5
48384,122910,3
122910,48387,3
48384,48386,3
48386,48387,3
60861,118506,2
118506,60865,2
60861,60863,4
60863,60865,4
97536,126099,3
126099,97539,3
97536,97538,3
97538,97539,3
114676,121526,5
121526,114680,5
114676,114677,1
112281,126458,3
126458,112284,3
112281,112283,3
112283,112284,3
18640,125035,3
125035,18645,3
18640,18643,5
18643,18645,5
113793,120178,2
120178,113796,2
113793,113795,3
113795,113796,3
44350,123908,4
123908,44355,4
44350,44353,5
44353,44355,5
77874,118932,4
118932,77880,4
77874,77877,6
77877,77880,6
70060,70069,17
70069,70077,17
33385,125358,4
125358,33388,4
33385,33387,3
33387,33388,3
49769,49774,10
49774,49779,10
58339,118478,3
118478,58342,3
